participant,5. Can you briefly explain what you feel about disclosing your information on the different types of application types above?,1. Your age?,education,gender,hours,webapps,software developer/not
A0139,I dont like to give my personal information without any reason,25-32,Masters/PhD,Female,5 hours or more,Less than 10,No
A0140,I feel that if there is a clear reason and need for how the data is used its great. Else it's a endangerment of personal privacy.,18-24,Masters/PhD,Male,5 hours or more,Less than 10,No
A0141,The feelings for being safe and secured ,32-40,Masters/PhD,Male,More than 3 hours upto 5 hours,Less than 10,No
A0142,It’s ok as long am in need of this application ,25-32,Masters/PhD,Male,5 hours or more,Less than 10,No
A0143,I feel obliged to continuously give my information/ private data for free in exchange for their online services ,18-24,Masters/PhD,Female,More than 1 hour upto 3 hours,Less than 5,No
A0144,I’m mostly concern about given my credit card details ,25-32,Masters/PhD,Female,More than 3 hours upto 5 hours,Less than 10,No
A0145,It depends mostly if I think the information asked is relevant for the application or not. I feel more comfortable when I understand why this information is required ,25-32,Masters/PhD,Female,More than 3 hours upto 5 hours,I use more than 10,No
A0146,"It depends on the application. For social network applications, it is very important to know who can see my data. If the application provides some tools to hide private information from public, it is fine. For other applications, as long as they are supported or recommended by a government organization or a well known and reputable company or brand (like NAB, MyGov, ...) I have no concern. But I never trust to applications with unknown owner.",32-40,Masters/PhD,Male,5 hours or more,Less than 5,Yes
A0147,My feeling is suspicious if I don't think such applications needs the data. For instance my blood group for a banking app,25-32,Masters/PhD,Male,5 hours or more,I use more than 10,Yes
A0148,"Basically depends on what I'm going to do, and is it reasonable to submit those information. (i.e. I'm not willing to give Blood Type for a banking service.)",25-32,Masters/PhD,Male,5 hours or more,Less than 5,Yes
A0149,"Personal information is well, personal. If there is no obvious need for me to share my personal information, why should I? Especially if there is no guarantee that my data will be secured, this will make me very uncomfortable. Medical related data should not be shared, unless with a doctor in a secured platform.",32-40,Masters/PhD,Female,5 hours or more,I use more than 10,Yes
A0150,"Depending on the type of application, the disclosure level changes.",32-40,Masters/PhD,Male,5 hours or more,I use more than 10,Yes
A0151,I feel uncomfortable to give personal information if I feel the application or institute is untrustworthy or asking irrelevant information.,25-32,Masters/PhD,Female,5 hours or more,Less than 5,No
A0001,Feel unsafe disclosing all the personal details for places where there is no control like social media . If the organisation is well known and has a good reputation feel ok to disclose info ,32-40,Masters OR PhD,Female,5 hours or more,less than 10,No
A0002,depends on if that information is required to that specific application ,25-32,Bachelor's Degree,Female,More than 1 hour upto 3 hours,less than 10,No
A0003,"For trusted applications like bank applications or payment portals I feel ok to reveal credit card information, mobile phone numbers etc assuming that they are secure and won't use for other things. But if any application which we don't know who will use the information and for what purpose they are used, I feel hesitant to provide email, phone number, address information which are risky to disclose to public domain which can be misused. Up to now, I haven't had the chance to provide my medical information in online applications and if there's such instance I will feel ok to provide them knowing the context it is used.",25-32,Bachelor's Degree,Female,More than 1 hour upto 3 hours,"I do not know, I use more than 10",Yes
A0004,Because we are giving our private information to different kinds of people in each category ,18-24,Bachelor's Degree,Male,More than 1 hour upto 3 hours,less than 5,No
A0005,With the experiences when surfing in the internet made me to answer above questions so,25-32,Any other professional diploma,Male,More than 1 hour upto 3 hours,less than 5,No
A0006,"When it comes monetary transactions such as via credit or debit card, I di not have a trustworthy feeling towards it by considering cyber crimes and all that. ",18-24,Bachelor's Degree,Male,More than 1 hour upto 3 hours,less than 10,Yes
